sourceUrl,file,status,note
"https://static.wixstatic.com/media/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg","backup/media/41554d_52523d5f8e434c489339670dec6c1122_mv2_d_1936_1936_s_2.jpg","saved","image/jpeg; 1026585 bytes"
"https://static.wixstatic.com/media/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg","backup/media/41554d_52523d5f8e434c489339670dec6c1122_mv2_d_1936_1936_s_2.jpg","saved","image/jpeg; 352767 bytes"
"https://static.wixstatic.com/media/41554d_5461c31550414353997fc093d8917e6f~mv2.jpg/Hoodie-Mockup2022_edited_edited.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_55b50b96c01e47928a815afbc60a9695~mv2_d_2814_3778_s_4_2.jpg/41554d_55b50b96c01e47928a815afbc60a9695~mv2_d_2814_3778_s_4_2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_56bd0040359a49a1b5328178ef62eb65.jpg/41554d_56bd0040359a49a1b5328178ef62eb65.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg","backup/media/41554d_5ab9d5f7a910411593791185fe6e9213_mv2.jpg","saved","image/jpeg; 896383 bytes"
"https://static.wixstatic.com/media/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.webp","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg/v1/fill/w_841,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg","backup/media/41554d_5ab9d5f7a910411593791185fe6e9213_mv2.jpg","saved","image/jpeg; 256559 bytes"
"https://static.wixstatic.com/media/41554d_5c8be6e0a5894e76862ea7805f4f1e24~mv2.jpg/41554d_5c8be6e0a5894e76862ea7805f4f1e24~mv2.jpg","","failed","403 Forbidden"
"https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg","backup/media/41554d_5d09bbaab191498ea369af5d36e3b328_7Emv2.jpg","saved","image/jpeg; 355308 bytes"
"https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328~mv2.jpg","backup/media/41554d_5d09bbaab191498ea369af5d36e3b328_mv2.jpg","saved","image/jpeg; 1656090 bytes"
"https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328~mv2.jpg/41554d_5d09bbaab191498ea369af5d36e3b328~mv2.jpg","","failed","403 Forbidden"
